OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2723,32022208,-3.554876837,42.06728212,6,77,16,5.3,5.78,5.05,7.1,1,5.3,0.7,84.4,C22,U120,ES,ES4,ES41,ES412,Woodland,Pine dominated coniferous woodland,Forestry
2724,32022232,-3.603275002,42.2801214,21,27,52,6.8,6.93,28.8,56.3,14,8.9,4.7,497.7,C10,U120,ES,ES4,ES41,ES412,Woodland,Broadleaved woodland,Forestry
2725,32022276,-3.693210304,42.670127,0,0,0,7.4,7.8,12.89,35.5,99,0,3.6,240,E20,U420,ES,ES4,ES41,ES412,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
2726,32022286,-3.713870765,42.75872872,19,38,43,7.3,7.57,14.37,25.2,135,0,1.7,161.7,E10,U111,ES,ES4,ES41,ES412,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2727,32022304,-3.751268209,42.9181784,0,0,0,7.2,7.47,18.32,35.2,82,8.8,2.5,339.8,C10,U420,ES,ES4,ES41,ES412,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
2728,32022322,-3.788936126,43.07758523,8,56,36,6,6.26,71.7,222.9,4,7.7,8.3,47.9,D20,U420,ES,ES4,ES41,ES412,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2729,32022340,-3.826877198,43.23694929,0,0,0,5,5.23,94.3,68.4,0,105.1,6.6,162.6,E20,U111,ES,ES1,ES13,ES130,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2730,32023576,-7.283886797,54.07918572,0,0,0,5.8,6.12,99.1,109.9,3,44.3,9,285.8,E20,U111,IE,IE0,IE04,IE041,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2731,32041688,-2.587049516,37.43919572,13,55,32,7.7,8.23,15.9,7.7,151,11.5,0.8,60.8,B74,U111,ES,ES6,ES61,ES614,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
2732,32041732,-2.659937406,37.83256914,24,32,44,7.6,7.98,16.7,46.3,382,0,3.2,334.7,D20,U420,ES,ES6,ES61,ES614,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2733,32041778,-2.737422628,38.24351922,0,0,0,7.5,8.11,13.4,31.4,147,27.6,1,293.3,B81,U111,ES,ES6,ES61,ES616,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
